meanLWC,holoSize,maxUpdraft,meanUpdraft,CloudBaseTemp,CloudBaseMSE,concCN,gniConc,gniSize,gniMass,gniRadius,MSE,HeightAbvCB,TempAbvCB
0.170616716146469,15,4.69373321533203,3.91025543212891,7.9,56784.2643409524,1264.0532836914,74465.711,7.6,0.0985857142857143,1.08e-06,56069.775517195,261.954711914062,-11.3754146933556
0.0431202305480838,15,4.36017465591431,3.84599097569784,7.9,56784.2643409524,1264.0532836914,74465.711,7.6,0.0985857142857143,1.08e-06,52625.5341827877,892.309244791667,-17.0376736958822
0.639697530439922,15,6.62386608123779,5.1064772605896,7.9,56784.2643409524,1264.0532836914,74465.711,7.6,0.0985857142857143,1.08e-06,54382.6506446386,888.71630859375,-16.0180530275617
0.492609833188388,15,9.33908843994141,5.90368286200932,7.9,56784.2643409524,1264.0532836914,74465.711,7.6,0.0985857142857143,1.08e-06,52820.914108486,1249.21285574777,-19.2275212560381
0.339358881115913,15,5.40459966659546,4.17597842216492,7.9,56784.2643409524,1264.0532836914,74465.711,7.6,0.0985857142857143,1.08e-06,52914.765070933,1254.23470052083,-19.2010772069295
0.787630345140185,17,8.83560848236084,6.60180429049901,7.9,56784.2643409524,1264.0532836914,74465.711,7.6,0.0985857142857143,1.08e-06,53176.5961265407,1569.02120535714,-21.1277378354754
0.632201088349456,17,13.8012781143188,8.51826291498931,7.9,56784.2643409524,1264.0532836914,74465.711,7.6,0.0985857142857143,1.08e-06,52723.7367774856,1573.6317297894,-21.4533659561821
0.464577421545982,15,4.4400897026062,4.09458994865417,12.1,49259.2716864886,629.727699279785,4335.545,7,0.0527,1.05e-06,51336.427345552,542.583923339844,-5.27372858524323
1.20666053837964,21,7.20405197143555,5.64019986561367,12.1,49259.2716864886,629.727699279785,4335.545,7,0.0527,1.05e-06,49588.5576696088,1371.91667829241,-10.3817191055843
1.5214254617691,21,5.87109470367432,5.11825246810913,12.1,49259.2716864886,629.727699279785,4335.545,7,0.0527,1.05e-06,48924.670688225,1526.40146484375,-11.5435964465141
1.69333632787069,23,7.0975546836853,6.36506271362305,12.1,49259.2716864886,629.727699279785,4335.545,7,0.0527,1.05e-06,48905.1444646001,2135.7529296875,-15.0279901981354
1.96517980098724,25,4.38912582397461,3.71544472376506,12.1,49259.2716864886,629.727699279785,4335.545,7,0.0527,1.05e-06,47199.1507350432,2475.73063151042,-17.9844623565674
0.922732874751091,17,6.08590507507324,5.48402190208435,12.1,49259.2716864886,629.727699279785,4335.545,7,0.0527,1.05e-06,50348.4315154867,992.715270996094,-8.00256410837173
0.924841910600662,34.105,5.35940933227539,3.93616703152657,17.5,58204.3831441368,2051.75343205239,0,-5,NaN,NaN,56976.7474444134,3936.32269287109,-22.4814871549606
0.902081894874573,42.395,7.25982904434204,4.85853180885315,17.5,58204.3831441368,2051.75343205239,0,-5,NaN,NaN,56093.5644156639,3920.985546875,-22.8440525054932
0.53254027068615,21.665,7.6948561668396,5.27477607727051,16.77,70088.2864904526,1952.93589680989,17680.5981,8.6,0.3286,1.06e-06,57410.2146644581,2738.4833984375,-19.8713173103333
1.34128198027611,23.735,9.52504920959473,6.63308960199356,16.77,70088.2864904526,1952.93589680989,17680.5981,8.6,0.3286,1.06e-06,63241.3401774162,2730.70471191406,-17.1614917334914
1.1722759604454,18.07,4.22072172164917,3.75948590040207,19.7476,73464.99303445,2530.47506917318,8162.4873,9.6,0.07495,1.13e-06,71108.1275003533,1066.43133544922,-7.0481092144012
0.853142619132996,14.315,3.38429832458496,3.34252262115479,19.7476,73464.99303445,2530.47506917318,8162.4873,9.6,0.07495,1.13e-06,74788.7956921935,641.423400878906,-4.1310519386292
1.00469793286175,20.215,12.8991365432739,8.97886959711711,19.7476,73464.99303445,2530.47506917318,8162.4873,9.6,0.07495,1.13e-06,66557.3005150626,1939.72253417969,-12.5540656654994
2.23566618561745,18.07,13.4326820373535,9.40552653372288,19.7476,73464.99303445,2530.47506917318,8162.4873,9.6,0.07495,1.13e-06,69393.753697635,1936.89204406738,-11.5138788033485
0.795056104660034,14.315,4.69285917282104,4.10636512438456,15.6,70494.2266985985,1760.64255894252,54718.5736,15,0.321033333333333,1.11e-06,71167.2536946038,670.285400390625,-5.1005620320638
0.764778236548106,15.925,4.15458726882935,3.64499191443125,15.6,70494.2266985985,1760.64255894252,54718.5736,15,0.321033333333333,1.11e-06,69524.2122164066,713.279988606771,-5.84342838923136
0.340865398446719,12.17,3.8621723651886,3.5316729148229,15.6,70494.2266985985,1760.64255894252,54718.5736,15,0.321033333333333,1.11e-06,72146.9005047726,399.6650390625,-3.5921339352926
0.966238516010344,18.07,12.9124975204468,8.4682785987854,21.799,71861.9179178155,3407.625,17545.3851,9.2,0.18585,1.105e-06,65707.144722243,2266.80327148437,-19.8647111644745
1.58378926912944,18.07,6.42296743392944,5.89617824554443,21.799,71861.9179178155,3407.625,17545.3851,9.2,0.18585,1.105e-06,67764.4740215855,2269.56429036458,-19.0234027455648
0.762728869915009,20.215,6.37622356414795,5.00212295850118,21.799,71861.9179178155,3407.625,17545.3851,9.2,0.18585,1.105e-06,62953.6022726667,2247.3486328125,-20.9384082307816
1.04997909069061,14.315,4.67366743087769,4.03735947608948,19.3018,69044.4791542256,3165.40121023996,19855.1366,12.2,0.131733333333333,1.08e-06,68134.2042629807,1434.0291015625,-14.6586325996399
0.931043088436127,15.925,4.24145603179932,3.58344846963882,19.3018,69044.4791542256,3165.40121023996,19855.1366,12.2,0.131733333333333,1.08e-06,68317.6012240971,1430.857421875,-14.5726675861359
1.18573921918869,15.925,6.21635961532593,5.58681929111481,19.3018,69044.4791542256,3165.40121023996,19855.1366,12.2,0.131733333333333,1.08e-06,65583.2213166467,1760.42260742188,-17.3142097168446
0.742944250504176,20.215,6.44337463378906,4.79125281174978,19.3018,69044.4791542256,3165.40121023996,19855.1366,12.2,0.131733333333333,1.08e-06,63920.9694942266,2088.34350585938,-19.7411457385401
1.37186743319035,18.07,10.0958204269409,7.87096524238586,19.3018,69044.4791542256,3165.40121023996,19855.1366,12.2,0.131733333333333,1.08e-06,65077.2334530799,1765.60034179688,-17.5656821452856
