Time,Altitude,Latitude,Longitude,VerticalWind,Temperature,StaticPres,DewPoint,MixingRatio,absHumidity,vapPres,LWC_cdp,LWC_king,LWC_2dc,EffRadius_cdp,EffRadius_2dc,TotalConc_2dc_L,TotalConc_cdp_cm3,Icing,MeanDiam,SatVapPres,MoistStaticEnergy,SatMixingRatio,MRchange,HeightAbvCloudBase,TempAbvCloudBase,DryAirDensity,LWC_over_Density
2021-06-20 10:26:36,2660.22412109375,40.0803718566895,-95.1884613037109,2.56190490722656,12.8015394210815,736.24755859375,12.8413410186768,12.7849140167236,11.236252784729,14.8284273147583,1.04572260379791,1.15410888195038,0.000437199021689594,7.35675668716431,60.0693016052246,0.689889013767242,1176.88159179688,1.33876550197601,9.13768291473389,14.7571902663831,71110.7070829457,12.7222382288622,-2.20066177113777,1040.22412109375,-6.94606057891846,0.897117920401673,1.28646285589038
2021-06-20 10:26:37,2647.5751953125,40.0801277160645,-95.1898880004883,2.95146656036377,13.0015840530396,737.647644042969,13.6135768890381,13.4342336654663,11.8090219497681,15.5952110290527,1.02668952941895,1.1267683506012,0.000229896933888085,7.24785089492798,50,0.530787825584412,1265.99633789062,1.33559167385101,8.70291996002197,14.9515022428103,71558.5402666463,12.8682496794062,-2.05465032059375,1027.5751953125,-6.74601594696045,0.898195569606749,1.25447996931729
2021-06-20 10:26:38,2633.4990234375,40.0798683166504,-95.1912841796875,1.46384501457214,12.9877367019653,739.09375,13.7047309875488,13.4893198013306,11.8802347183228,15.6884965896606,0.58686363697052,0.650452971458435,0.000173250213265419,7.05528736114502,74.9999923706055,0.0980395674705505,789.104309082031,1.33464562892914,8.46158123016357,14.9379795113874,71312.3721068164,12.8306969781014,-2.09220302189856,1013.4990234375,-6.75986329803467,0.899999970895359,0.722725547214558
2021-06-20 10:26:39,2618.35620117188,40.0795669555664,-95.1926727294922,1.66808605194092,12.6816902160645,740.71728515625,13.9295816421509,13.6608562469482,12.0673904418945,15.9186010360718,0.444811820983887,0.473025113344193,0,5.73776435852051,0,0,1244.40185546875,1.3501945734024,6.48389482498169,14.6418438114471,70128.5548492511,12.5430862030702,-2.37981379692984,998.356201171875,-7.06590978393555,0.902942728991359,0.523870560287461
2021-06-20 10:26:40,2603.09301757812,40.0792083740234,-95.1940536499023,1.6283243894577,12.6070699691772,742.362854003906,14.8049774169922,14.4437522888184,12.7749166488647,16.8475303649902,0.522963404655457,0.611606955528259,0.000255062361247838,5.97193574905396,37.5,1.15468621253967,1300.56127929688,1.34370946884155,6.70997285842896,14.5704287750942,69675.2494587044,12.4524608720121,-2.47043912798788,983.093017578125,-7.14053003082275,0.905185006832103,0.675670665015447
2021-06-20 10:26:41,2588.271484375,40.078800201416,-95.1954193115234,2.37283301353455,12.7386951446533,743.71337890625,14.4552040100098,14.0865201950073,12.4828853607178,16.4699821472168,0.897777497768402,1.01856982707977,0.00025126023683697,6.90390014648438,37.5,1.13747370243073,1330.62231445312,1.33196008205414,8.08656692504883,14.6966076702242,69882.8931747441,12.5392039409198,-2.38369605908017,968.271484375,-7.00890485534668,0.906414230088111,1.12373547685892
2021-06-20 10:26:42,2574.2099609375,40.0783500671387,-95.19677734375,2.13682389259338,13.2877407073975,745.075805664062,14.0104885101318,13.6516485214233,12.1047267913818,16.001708984375,1.05154073238373,1.12497532367706,0.000112735928269103,7.13205575942993,50,0.215309768915176,1330.75219726562,1.33095288276672,8.71750164031982,15.2333738909696,71420.7893570452,12.98247148657,-1.94042851343003,954.2099609375,-6.45985929260254,0.906334109518283,1.2412368814796
2021-06-20 10:26:43,2560.50122070312,40.0778694152832,-95.1980972290039,1.67452418804169,13.4213275909424,745.253540039062,14.9556140899658,14.5290327072144,12.862003326416,17.0107135772705,1.01280188560486,1.08927142620087,8.39255517348647e-05,7.18660640716553,37.5,0.379937201738358,1232.33837890625,1.32712292671204,8.8792142868042,15.366554463167,71706.2884973884,13.095173725489,-1.82772627451096,940.501220703125,-6.32627240905762,0.906127717636793,1.2021168815382
2021-06-20 10:26:44,2546.11303710938,40.077335357666,-95.1994094848633,2.40138244628906,13.5445213317871,747.475280761719,14.7401418685913,14.2815189361572,12.680061340332,16.7772941589355,0.579684257507324,0.670438170433044,0.000169761624420062,6.9380955696106,37.5,0.768523395061493,787.391967773438,1.32370483875275,8.54681301116943,15.4902808255293,71861.5997114793,13.1627761147006,-1.76012388529937,926.113037109375,-6.20307866821289,0.908438527138978,0.738011599468939
2021-06-20 10:26:45,2531.70825195312,40.0767822265625,-95.2006988525391,2.98466920852661,13.4307374954224,748.162475585938,15.2748794555664,14.7798795700073,13.1295347213745,17.3651084899902,0.901914179325104,1.08221888542175,0.000250902550760657,7.04336881637573,56.2499961853027,0.473272651433945,1190.37377929688,1.32097351551056,8.58484745025635,15.3759742693859,71324.2432453979,13.0513539460337,-1.8715460539663,911.708251953125,-6.31686250457764,0.909634721722808,1.1897290852883
2021-06-20 10:26:46,2517.30444335938,40.0761604309082,-95.2019805908203,1.17959833145142,13.6288471221924,749.337524414062,15.1408128738403,14.6262168884277,13.0075855255127,17.2157115936279,0.582046627998352,0.622622609138489,0,7.0614709854126,0,0,769.39453125,1.31818115711212,8.54703044891357,15.5754759108067,71767.2642035669,13.2031167819097,-1.71978321809028,897.304443359375,-6.11875287780762,0.91043400411714,0.683874510752983
2021-06-20 10:26:47,2502.43359375,40.0755386352539,-95.2032241821289,-0.349127560853958,13.7035894393921,750.772644042969,14.9281015396118,14.3939018249512,12.8268346786499,16.9809093475342,2.3538420919067e-06,0.0317212045192719,0,1.82985806465149,0,0,0.120750792324543,1.29149305820465,3.05124998092651,15.6513332194739,71798.1962751885,13.2428881045597,-1.68001189544034,882.43359375,-6.04401056060791,0.911939977029192,0.034784311816891
2021-06-20 10:26:48,2487.03955078125,40.0748672485352,-95.2044525146484,-0.688221514225006,13.6119575500488,752.001586914062,14.8014163970947,14.2510385513306,12.7272348403931,16.8436717987061,0.000381230958737433,0.043518278747797,0,4.51453685760498,0,0,1.3736058473587,1.24156558513641,7.17913055419922,15.5583792753778,71296.8906061283,13.1406085478255,-1.78229145217445,867.03955078125,-6.13564244995117,0.913724613591199,0.0476273464679448
2021-06-20 10:26:49,2471.10864257812,40.0741539001465,-95.2056579589844,0.193375423550606,13.5640287399292,754.064208984375,14.5325698852539,13.9599304199219,12.5092630386353,16.552433013916,0.495672047138214,0.552145719528198,0,6.89226865768433,0,0,638.500610351562,1.26297402381897,8.95492553710938,15.5099527768468,70895.3241051955,13.062263938112,-1.86063606188802,851.108642578125,-6.1835712600708,0.916383979039935,0.602526596009091
2021-06-20 10:26:50,2455.37866210938,40.0733871459961,-95.2068023681641,1.42713820934296,13.86976146698,755.461791992188,14.4403953552246,13.849157333374,12.4219217300415,16.4543895721436,0.368614166975021,0.392599314451218,8.31251745694317e-05,6.69400119781494,37.5,0.376313805580139,558.891845703125,1.29098951816559,8.23723030090332,15.8211503081921,71663.4801744372,13.3047792902379,-1.61812070976209,835.378662109375,-5.87783853302002,0.917104466530057,0.428085707549382
2021-06-20 10:26:51,2440.3505859375,40.0726051330566,-95.2079391479492,1.616455078125,14.0280570983887,756.485107421875,14.1702375411987,13.5856876373291,12.2004384994507,16.1699199676514,0.878912925720215,0.972754597663879,0.000166252124472521,7.01674652099609,37.5000038146973,0.752635598182678,1113.29833984375,1.30182349681854,8.8913516998291,15.9844241168186,71984.0560300877,13.426472148933,-1.49642785106704,820.3505859375,-5.71954290161133,0.917840533450992,1.059829635118
2021-06-20 10:26:52,2425.607421875,40.07177734375,-95.2090148925781,-0.233150452375412,14.2898368835449,758.006958007812,14.6979970932007,14.0394258499146,12.6127662658691,16.7316379547119,NaN,0.743009090423584,0,0,0,0,NaN,1.2939954996109,NaN,16.2576915426512,72626.5362044713,13.6330220961587,-1.28987790384131,805.607421875,-5.45776311645508,0.918849403459029,0.808629888234688
